elapsed_seconds,rss_bytes,temp_file_count,archive_entry_count,latest_final_latency_seconds,final_count,error_count,worker_state
61.064,2872590336,1,9,11.01,8,0,ready
121.071,2874441728,1,9,11.15,18,0,ready
181.079,2875031552,1,9,10.589,28,0,ready
241.085,2875162624,1,9,10.693,38,0,ready
301.092,2682273792,1,9,11.522,48,0,ready
361.103,2682355712,1,9,11.938,58,0,ready
421.112,2682437632,1,9,10.364,68,0,ready
481.122,2682519552,1,9,10.599,78,0,ready
541.131,2682273792,0,9,10.702,88,0,ready
601.138,2682650624,1,9,11.934,97,0,ready
661.146,2682765312,1,9,10.635,107,0,ready
721.154,2682798080,0,9,11.165,117,0,ready
781.164,2682847232,1,9,11.818,126,0,ready
841.174,2682896384,1,9,10.807,135,0,ready
901.182,2682945536,1,9,11.037,145,0,ready
961.188,2682650624,0,9,11.644,155,0,ready
1021.196,2683518976,1,9,11.19,164,0,ready
1081.203,2690334720,0,9,11.366,174,0,ready
1141.211,2690678784,1,9,10.686,183,0,ready
1201.216,2690727936,1,9,11.302,193,0,ready
1261.225,2690777088,1,9,10.731,202,0,ready
1321.233,2690793472,1,9,11.201,212,0,ready
1381.243,2690826240,1,9,12.008,221,0,ready
1441.251,2690891776,1,9,10.606,231,0,ready
1501.258,2690596864,0,9,9.618,241,0,ready
1561.271,2690940928,1,9,10.207,250,0,ready
1621.276,2690646016,0,9,10.638,260,0,ready
1681.286,2691022848,1,9,9.887,269,0,ready
1741.296,2690711552,0,9,10.236,279,0,ready
1801.305,2691072000,1,9,10.852,288,0,ready
